Model,ItemsSold,Gender,PaymentMode,AgeGroup,Region,PurchaseChannel,Month,Year
iPhone 11,1200,Male,EMI,25-34,North,Online,January,2025
iPhone 11,900,Female,Cash,25-34,North,Offline,January,2025
iPhone 12,1500,Male,EMI,18-24,West,Online,February,2025
iPhone 12,1100,Female,EMI,25-34,West,Online,February,2025
iPhone 13,1800,Male,Cash,35-44,South,Offline,March,2025
iPhone 13,1400,Female,EMI,25-34,South,Online,March,2025
iPhone 14,2000,Male,EMI,25-34,East,Online,April,2025
iPhone 14,1700,Female,Cash,35-44,East,Offline,April,2025
iPhone 15,2500,Male,EMI,18-24,North,Online,May,2025
iPhone 15,2100,Female,EMI,25-34,North,Online,May,2025
iPhone 11,800,Male,Cash,45-54,West,Offline,June,2025
iPhone 12,1300,Female,EMI,18-24,South,Online,June,2025
iPhone 13,1600,Male,EMI,25-34,East,Online,July,2025
iPhone 14,1900,Female,Cash,35-44,West,Offline,July,2025
iPhone 15,2300,Male,EMI,18-24,South,Online,August,2025
iPhone 15,2000,Female,EMI,25-34,South,Online,August,2025
iPhone 12,1000,Male,Cash,35-44,North,Offline,September,2025
iPhone 13,1700,Female,EMI,25-34,East,Online,September,2025
iPhone 14,2100,Male,EMI,25-34,West,Online,October,2025
iPhone 15,2600,Female,EMI,18-24,North,Online,October,2025
iPhone 11,700,Male,Cash,45-54,South,Offline,November,2025
iPhone 12,1200,Female,EMI,25-34,West,Online,November,2025
iPhone 13,1800,Male,EMI,35-44,East,Online,December,2025
iPhone 14,2200,Female,Cash,25-34,North,Offline,December,2025
iPhone 11,650,Female,Cash,45-54,East,Offline,January,2025
iPhone 12,1400,Male,EMI,25-34,North,Online,January,2025
iPhone 13,1750,Female,EMI,25-34,West,Online,February,2025
iPhone 14,2100,Male,EMI,18-24,South,Online,February,2025
iPhone 15,2800,Male,EMI,25-34,East,Online,March,2025
iPhone 11,900,Male,Cash,35-44,North,Offline,March,2025
iPhone 12,1250,Female,EMI,18-24,South,Online,April,2025
iPhone 13,1600,Male,EMI,35-44,West,Online,April,2025
iPhone 14,1950,Female,Cash,25-34,East,Offline,May,2025
iPhone 15,3000,Male,EMI,18-24,North,Online,June,2025
iPhone 11,720,Female,Cash,45-54,South,Offline,June,2025
iPhone 12,1380,Male,EMI,25-34,West,Online,July,2025
iPhone 13,1850,Female,EMI,25-34,North,Online,July,2025
iPhone 14,2250,Male,EMI,35-44,East,Online,August,2025
iPhone 15,3200,Female,EMI,18-24,West,Online,August,2025
iPhone 11,680,Male,Cash,45-54,North,Offline,September,2025
iPhone 12,1500,Female,EMI,25-34,South,Online,September,2025
iPhone 13,2000,Male,EMI,35-44,West,Online,October,2025
iPhone 14,2400,Female,EMI,25-34,North,Online,October,2025
iPhone 15,3500,Male,EMI,18-24,East,Online,November,2025
iPhone 11,600,Female,Cash,55+,South,Offline,November,2025
iPhone 12,1300,Male,EMI,25-34,North,Online,December,2025
iPhone 13,2100,Female,EMI,35-44,East,Online,December,2025
iPhone 14,2600,Male,EMI,25-34,West,Online,December,2025
